n,m,seed,sample,input_value_lsb,flipped_bit_1_based,distance
20,6,502,30,809846,13,0.6666666666666666
20,6,502,31,491977,18,0.6666666666666666
20,6,503,0,410518,6,0.9166666666666666
20,6,503,1,758755,14,0.9166666666666666
20,6,503,2,16639,10,0.6666666666666666
20,6,503,3,140507,13,0.5
20,6,503,4,41665,12,0.9166666666666666
20,6,503,5,714273,10,0.9166666666666666
20,6,503,6,694485,3,0.75
20,6,503,7,628406,3,0.9166666666666666
20,6,503,8,155224,1,0.8333333333333334
20,6,503,9,435791,7,1.0
20,6,503,10,521782,10,0.8333333333333334
20,6,503,11,15923,1,1.0
20,6,503,12,717854,20,0.8333333333333334
20,6,503,13,694730,1,0.8333333333333334
20,6,503,14,668568,17,0.6666666666666666
20,6,503,15,136514,19,0.8333333333333334
20,6,503,16,521472,11,0.9166666666666666
20,6,503,17,57565,5,0.6666666666666666
20,6,503,18,838962,11,0.9166666666666666
20,6,503,19,208572,14,1.0
20,6,503,20,936216,17,0.75
20,6,503,21,850679,6,0.5833333333333334
20,6,503,22,257617,17,0.9166666666666666
20,6,503,23,700495,7,1.0
20,6,503,24,946673,7,0.6666666666666666
20,6,503,25,451403,8,0.9166666666666666
20,6,503,26,120338,14,1.0
20,6,503,27,48713,18,0.6666666666666666
20,6,503,28,266028,5,0.9166666666666666
20,6,503,29,496318,18,0.8333333333333334
20,6,503,30,824381,3,0.8333333333333334
20,6,503,31,686406,20,0.8333333333333334
8,8,501,0,137,7,0.8125
8,8,501,1,127,6,0.875
8,8,501,2,70,3,0.875
8,8,501,3,16,1,1.0
8,8,501,4,72,2,1.0
8,8,501,5,69,3,0.875
8,8,501,6,133,8,0.875
8,8,501,7,149,7,0.9375
8,8,501,8,255,5,0.875
8,8,501,9,183,6,0.9375
8,8,501,10,158,1,1.0
8,8,501,11,227,1,0.9375
8,8,501,12,52,5,0.875
8,8,501,13,21,1,1.0
8,8,501,14,249,4,0.8125
8,8,501,15,105,7,0.9375
8,8,501,16,134,7,0.9375
8,8,501,17,60,8,0.875
8,8,501,18,216,2,0.9375
8,8,501,19,23,4,0.875
8,8,501,20,136,8,0.875
8,8,501,21,211,8,0.875
8,8,501,22,200,5,0.875
8,8,501,23,8,5,0.875
8,8,501,24,178,4,0.9375
8,8,501,25,180,7,0.6875
8,8,501,26,147,4,0.9375
8,8,501,27,119,5,0.9375
8,8,501,28,88,7,0.875
8,8,501,29,181,4,0.8125
8,8,501,30,196,5,0.8125
8,8,501,31,152,2,0.8125
8,8,502,0,124,6,1.0
8,8,502,1,81,7,0.8125
8,8,502,2,217,1,0.875
8,8,502,3,235,6,0.8125
8,8,502,4,246,7,0.9375
8,8,502,5,84,4,0.875
8,8,502,6,221,3,0.875
8,8,502,7,208,6,0.9375
8,8,502,8,129,4,0.8125
8,8,502,9,238,8,0.8125
8,8,502,10,142,2,0.9375
8,8,502,11,44,6,0.9375
8,8,502,12,243,7,0.8125
8,8,502,13,74,5,0.875
8,8,502,14,158,6,0.9375
8,8,502,15,237,6,0.6875
8,8,502,16,22,7,0.875
8,8,502,17,227,4,0.6875
8,8,502,18,5,8,0.8125
8,8,502,19,158,3,0.9375
8,8,502,20,235,2,0.8125
8,8,502,21,5,1,1.0
8,8,502,22,32,5,0.6875
8,8,502,23,202,1,1.0
8,8,502,24,69,7,1.0
8,8,502,25,77,8,0.8125
8,8,502,26,168,1,0.9375
8,8,502,27,209,7,0.8125
8,8,502,28,194,4,0.8125
8,8,502,29,131,8,0.8125
8,8,502,30,42,6,0.9375
8,8,502,31,123,3,0.875
