n,m,seed,round,inputs,distinct_states,collision_pairs,inherited_pairs,new_pairs,max_preimages,transition_evaluations,new_pairs_weighted_to_terminal
6,6,101,3,8,8,0,0,0,1,8,0
6,6,101,4,16,16,0,0,0,1,16,0
6,6,101,5,32,32,0,0,0,1,32,0
6,6,101,6,64,64,0,0,0,1,64,0
6,6,202,1,2,2,0,0,0,1,2,0
6,6,202,2,4,4,0,0,0,1,4,0
6,6,202,3,8,8,0,0,0,1,8,0
6,6,202,4,16,16,0,0,0,1,16,0
6,6,202,5,32,32,0,0,0,1,32,0
6,6,202,6,64,64,0,0,0,1,64,0
6,6,303,1,2,2,0,0,0,1,2,0
6,6,303,2,4,4,0,0,0,1,4,0
6,6,303,3,8,8,0,0,0,1,8,0
6,6,303,4,16,16,0,0,0,1,16,0
6,6,303,5,32,32,0,0,0,1,32,0
6,6,303,6,64,64,0,0,0,1,64,0
8,6,101,1,2,2,0,0,0,1,2,0
8,6,101,2,4,4,0,0,0,1,4,0
8,6,101,3,8,8,0,0,0,1,8,0
8,6,101,4,16,16,0,0,0,1,16,0
8,6,101,5,32,32,0,0,0,1,32,0
8,6,101,6,64,64,0,0,0,1,64,0
8,6,101,7,128,128,0,0,0,1,128,0
8,6,101,8,256,255,1,0,1,2,256,1
8,6,202,1,2,2,0,0,0,1,2,0
8,6,202,2,4,4,0,0,0,1,4,0
8,6,202,3,8,8,0,0,0,1,8,0
8,6,202,4,16,16,0,0,0,1,16,0
8,6,202,5,32,32,0,0,0,1,32,0
8,6,202,6,64,64,0,0,0,1,64,0
8,6,202,7,128,128,0,0,0,1,128,0
8,6,202,8,256,256,0,0,0,1,256,0
8,6,303,1,2,2,0,0,0,1,2,0
8,6,303,2,4,4,0,0,0,1,4,0
8,6,303,3,8,8,0,0,0,1,8,0
8,6,303,4,16,16,0,0,0,1,16,0
8,6,303,5,32,32,0,0,0,1,32,0
8,6,303,6,64,64,0,0,0,1,64,0
8,6,303,7,128,128,0,0,0,1,128,0
8,6,303,8,256,255,1,0,1,2,256,1
10,6,101,1,2,2,0,0,0,1,2,0
10,6,101,2,4,4,0,0,0,1,4,0
10,6,101,3,8,8,0,0,0,1,8,0
10,6,101,4,16,16,0,0,0,1,16,0
10,6,101,5,32,32,0,0,0,1,32,0
10,6,101,6,64,64,0,0,0,1,64,0
10,6,101,7,128,128,0,0,0,1,128,0
10,6,101,8,256,256,0,0,0,1,256,0
10,6,101,9,512,509,3,0,3,2,512,6
10,6,101,10,1024,1015,9,6,3,2,1018,3
10,6,202,1,2,2,0,0,0,1,2,0
10,6,202,2,4,4,0,0,0,1,4,0
10,6,202,3,8,8,0,0,0,1,8,0
10,6,202,4,16,16,0,0,0,1,16,0
10,6,202,5,32,32,0,0,0,1,32,0
10,6,202,6,64,64,0,0,0,1,64,0
10,6,202,7,128,128,0,0,0,1,128,0
10,6,202,8,256,255,1,0,1,2,256,4
10,6,202,9,512,510,2,2,0,2,510,0
10,6,202,10,1024,1014,10,4,6,2,1020,6
10,6,303,1,2,2,0,0,0,1,2,0
10,6,303,2,4,4,0,0,0,1,4,0
10,6,303,3,8,8,0,0,0,1,8,0
10,6,303,4,16,16,0,0,0,1,16,0
10,6,303,5,32,32,0,0,0,1,32,0
10,6,303,6,64,64,0,0,0,1,64,0
10,6,303,7,128,128,0,0,0,1,128,0
10,6,303,8,256,256,0,0,0,1,256,0
10,6,303,9,512,511,1,0,1,2,512,2
10,6,303,10,1024,1016,8,2,6,2,1022,6
12,6,101,1,2,2,0,0,0,1,2,0
12,6,101,2,4,4,0,0,0,1,4,0
12,6,101,3,8,8,0,0,0,1,8,0
12,6,101,4,16,16,0,0,0,1,16,0
12,6,101,5,32,32,0,0,0,1,32,0
12,6,101,6,64,64,0,0,0,1,64,0
12,6,101,7,128,128,0,0,0,1,128,0
12,6,101,8,256,256,0,0,0,1,256,0
12,6,101,9,512,511,1,0,1,2,512,8
12,6,101,10,1024,1019,5,2,3,2,1022,12
12,6,101,11,2048,2018,30,10,20,2,2038,40
12,6,101,12,4096,3962,139,60,79,3,4036,79
12,6,202,1,2,2,0,0,0,1,2,0
12,6,202,2,4,4,0,0,0,1,4,0
12,6,202,3,8,8,0,0,0,1,8,0
12,6,202,4,16,16,0,0,0,1,16,0
12,6,202,5,32,32,0,0,0,1,32,0
12,6,202,6,64,64,0,0,0,1,64,0
12,6,202,7,128,128,0,0,0,1,128,0
12,6,202,8,256,255,1,0,1,2,256,16
12,6,202,9,512,507,5,2,3,2,510,24
12,6,202,10,1024,1010,14,10,4,2,1014,16
12,6,202,11,2048,2007,42,28,14,3,2020,28
12,6,202,12,4096,3961,139,84,55,3,4014,55
12,6,303,1,2,2,0,0,0,1,2,0
12,6,303,2,4,4,0,0,0,1,4,0
12,6,303,3,8,8,0,0,0,1,8,0
12,6,303,4,16,16,0,0,0,1,16,0
12,6,303,5,32,32,0,0,0,1,32,0
12,6,303,6,64,64,0,0,0,1,64,0
12,6,303,7,128,128,0,0,0,1,128,0
12,6,303,8,256,256,0,0,0,1,256,0
12,6,303,9,512,512,0,0,0,1,512,0
12,6,303,10,1024,1019,5,0,5,2,1024,20
12,6,303,11,2048,2029,19,10,9,2,2038,18
12,6,303,12,4096,3974,124,38,86,3,4058,86
14,6,101,1,2,2,0,0,0,1,2,0
14,6,101,2,4,4,0,0,0,1,4,0
